Collectivite;Budget;Exercice;I_F;D_R;Nature;SousFonction;Exécuté;Libellé nature;Libellé fonction
VILLE;1;2011;F;D;6064;822;8277,43; FOURNITURES ADMINISTRATIVES;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2011;F;D;6237;824;14375,92; PUBLICATIONS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2011;I;R;274;520;29602,36; AUTRES IMMOBILISATIONS FINANCIERES PRETS;SERVICES COMMUNS
VILLE;1;2011;F;D;6451;814;33474,51; COTISATIONS A L'URSSAF;ECLAIRAGE PUBLIC
VILLE;1;2011;F;D;6713;48;4000; CHARGES EXCEPTIONNELLES SECOURS ET DOTS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;F;D;6451;822;812832,8; COTISATIONS A L'URSSAF;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2011;F;D;60613;412;23400; CHAUFFAGE URBAIN;STADES
VILLE;1;2011;F;D;6238;520;4237,66; DIVERS;SERVICES COMMUNS
VILLE;1;2011;F;D;6247;48;3474,68; TRANSPORT COLLECTIF;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;F;D;64111;312;372455,11; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;ARTS PLASTIQUES ET AUTRES ACTIVITES ARTISTIQUES
VILLE;1;2011;F;D;6226;91;450; HONORAIRES;FOIRES ET MARCHES
VILLE;1;2011;F;D;678;26;491; AUTRES CHARGES EXCEPTIONNELLES;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2011;F;R;7718;40;126,49; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;SERVICES COMMUNS
VILLE;1;2011;I;D;2135;324;15399,7; INSTALLATIONS GENERALES, AGENCEMENTS, AMENAGTS DES CONSTRUCTIONS;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;1;2011;F;D;64118;823;1464059,56; AUTRES INDEMNITES PERSONNEL TITULAIRE;ESPACES VERTS URBAINS
VILLE;1;2011;F;D;60632;823;181791,38; FOURNITURES DE PETIT EQUIPEMENT;ESPACES VERTS URBAINS
VILLE;1;2011;F;D;678;30;41036,12; AUTRES CHARGES EXCEPTIONNELLES;SERVICES COMMUNS
VILLE;1;2011;F;D;60628;26;2070,62; AUTRES FOURNITURES NON STOCKEES;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2011;F;R;6419;422;28033,74; REMBOURSEMENTS SUR REMUNERATION DU PERSONNEL;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;F;D;64112;411;37675,81; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;SALLES DE SPORT, GYMNASES
VILLE;1;2011;F;D;64112;323;8263,97; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;ARCHIVES
VILLE;1;2011;F;D;611;323;14693,94; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;ARCHIVES
VILLE;1;2011;F;D;64131;816;18593,73; REMUNERATION;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2011;F;R;7788;820;182,48; PRODUITS EXCEPTIONNELS DIVERS;SERVICES COMMUNS
VILLE;1;2011;F;D;6156;823;77194,86; MAINTENANCE;ESPACES VERTS URBAINS
VILLE;1;2011;F;D;6811;;11430695,47; DOTATIONS AUX AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES ET CORPORELLES;
VILLE;1;2011;F;D;6236;30;110876,95; CATALOGUES ET IMPRIMES;SERVICES COMMUNS
VILLE;1;2011;F;D;6237;48;640,46; PUBLICATIONS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;F;D;6451;824;33955,32; COTISATIONS A L'URSSAF;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2011;F;R;7351;;4646068,5; TAXE SUR L'ELECTRICITE;
VILLE;1;2011;F;R;6459;20;3154,55; REMBOURSEMENT SUR CHARGES DE SECURITE SOCIALE & PREVOYANCE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;R;752;24;61705; REVENUS DES IMMEUBLES;FETES ET CEREMONIES
VILLE;1;2011;I;D;2315;824;9186322,53; IMMOBILISATIONS EN COURS INSTALLATIONS MATERIEL ET OUTILLAGE TECHNIQUE;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2011;I;D;2315;821;1141303,32; IMMOBILISATIONS EN COURS INSTALLATIONS MATERIEL ET OUTILLAGE TECHNIQUE;EQUIPEMENTS DE VOIRIE
VILLE;1;2011;F;R;752;20;809979,72; REVENUS DES IMMEUBLES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;D;614;411;13500; CHARGES LOCATIVES ET DE COPROPRIETE;SALLES DE SPORT, GYMNASES
VILLE;1;2011;F;D;6561;;135009,02; FRAIS DE PERSONNEL;
VILLE;1;2011;I;D;2158;112;538525,09; INSTALLATIONS, MATERIEL ET OUTILLAGE TECHNIQUES AUTRES;POLICE MUNICIPALE
VILLE;1;2011;F;D;6238;26;3899,99; DIVERS;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2011;F;D;6251;48;77385,32; VOYAGES ET DEPLACEMENTS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;F;R;758;824;4899,85; Produits divers de gestion cou;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2011;F;R;70688;20;382,87; AUTRES PRESTATIONS DE SERVICES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;R;70323;30;2880; REDEVANCE D'OCCUPATION DU DOMAINE PUBLIC COMMUNAL;SERVICES COMMUNS
VILLE;1;2011;F;D;6135;30;262378,2; LOCATIONS MOBILIERES;SERVICES COMMUNS
VILLE;1;2011;F;D;6453;112;1047036,28; COTISATIONS AUX CAISSES DE RETRAITES;POLICE MUNICIPALE
VILLE;1;2011;I;D;2135;422;502423,32; INSTALLATIONS GENERALES, AGENCEMENTS, AMENAGTS DES CONSTRUCTIONS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;I;D;21568;30;743,6; AUTRE MATERIEL ET OUTILLAGE D'INCENDIE ET DE DEFENSE CIVILE;SERVICES COMMUNS
VILLE;1;2011;F;R;70321;91;60720; DROITS DE STATIONNEMENT ET DE LOCATION SUR LA VOIE PUBLIQUE;FOIRES ET MARCHES
VILLE;1;2011;F;D;678;520;1646,92; AUTRES CHARGES EXCEPTIONNELLES;SERVICES COMMUNS
VILLE;1;2011;F;R;7788;20;1304381,06; PRODUITS EXCEPTIONNELS DIVERS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;I;R;13258;824;123040,1; SUBVENTION D'EQUIPEMENT NON TRANSFERABLES AUTRES GROUPEMENTS DE COLLECTIVITES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2011;F;D;6261;22;297,55; FRAIS D'AFFRANCHISSEMENT;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2011;F;D;60611;20;963890; EAU ET ASSAINISSSEMENT;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;D;60612;823;156299,04; ENERGIE ET ELECTRICITE;ESPACES VERTS URBAINS
VILLE;1;2011;F;D;64131;24;55524,49; REMUNERATION;FETES ET CEREMONIES
VILLE;1;2011;F;D;6065;20;293,93; LIVRES DISQUES CASSETTES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;D;6488;48;9014,5; AUTRES CHARGES;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;F;D;6042;64;1844388,91; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;CRECHES ET GARDERIES
VILLE;1;2011;F;D;6156;422;34867,13; MAINTENANCE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;F;D;6232;422;29301,66; FETES ET CEREMONIES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;F;D;6488;12;21926; AUTRES CHARGES;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2011;F;D;6188;30;179399,45; AUTRES FRAIS DIVERS;SERVICES COMMUNS
VILLE;1;2011;I;D;2312;211;403146,55; IMMOBILISATIONS EN COURS TERRAINS;ECOLES MATERNELLES
VILLE;1;2011;F;D;627;30;15; SERVICES BANCAIRES ET ASSIMILES;SERVICES COMMUNS
VILLE;1;2011;F;D;6714;48;18200; CHARGES EXCEPTIONNELLES SUR BOURSES ET PRIX;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;I;D;2188;520;2717,31; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;SERVICES COMMUNS
VILLE;1;2011;F;D;6558;212;1062,7; CONTINGENT ET PARTICIPATIONS OBLIGATOIRES AUTRES DEPENSES OBLIGATOIRES;ECOLES PRIMAIRES
VILLE;1;2011;I;D;2183;112;646,08; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;POLICE MUNICIPALE
VILLE;1;2011;F;D;658;520;259945,06; CHARGES DIVERSES DE LA GESTION COURANTE;SERVICES COMMUNS
VILLE;1;2011;F;D;6236;251;18789,16; CATALOGUES ET IMPRIMES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2011;F;D;6065;212;34670,57; LIVRES DISQUES CASSETTES;ECOLES PRIMAIRES
VILLE;1;2011;F;D;64118;12;155059,17; AUTRES INDEMNITES PERSONNEL TITULAIRE;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2011;F;D;6574;90;77800; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;INTERVENTIONS ECONOMIQUES
VILLE;1;2011;F;D;64112;251;54960,3; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2011;I;D;2031;830;500; FRAIS D'ETUDES;SERVICES COMMUNS
VILLE;1;2011;F;R;7473;520;207000; SUBVENTIONS ET PARTICIPATIONS DEPARTEMENTS;SERVICES COMMUNS
VILLE;1;2011;F;D;60612;422;308087,2; ENERGIE ET ELECTRICITE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;I;D;2182;823;29150,12; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE TRANSPORT;ESPACES VERTS URBAINS
VILLE;1;2011;F;D;60631;821;1661,38; FOURNITURES D'ENTRETIEN;EQUIPEMENTS DE VOIRIE
VILLE;1;2011;F;D;64731;64;48056,78; ALLOC CHOM;CRECHES ET GARDERIES
VILLE;1;2011;F;R;7473;313;40000; SUBVENTIONS ET PARTICIPATIONS DEPARTEMENTS;THEATRES
VILLE;1;2011;I;D;21318;64;564797,84; AUTRES BATIMENTS PUBLICS;CRECHES ET GARDERIES
VILLE;1;2011;F;D;64118;422;552129,25; AUTRES INDEMNITES PERSONNEL TITULAIRE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;F;D;6247;20;887; TRANSPORT COLLECTIF;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;D;60624;820;50,8; PRODUITS DE TRAITEMENT;SERVICES COMMUNS
VILLE;1;2011;I;D;2183;211;29810,29; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;ECOLES MATERNELLES
VILLE;1;2011;F;D;6453;810;51924,25; COTISATIONS AUX CAISSES DE RETRAITES;SERVICES COMMUNS
VILLE;1;2011;F;D;6188;422;78437,71; AUTRES FRAIS DIVERS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;F;R;70631;411;180917; redevances et droits a caracte;SALLES DE SPORT, GYMNASES
VILLE;1;2011;I;D;2033;112;951,5; FRAIS D'INSERTION;POLICE MUNICIPALE
VILLE;1;2011;I;D;2188;213;14869,82; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;CLASSES REGROUPEES
VILLE;1;2011;F;D;6283;422;7274,25; FRAIS DE NETTOYAGE DES LOCAUX;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;F;D;61521;20;35389,82; ENTRETIEN ET REPARATIONS SUR TERRAINS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;D;64131;412;29525,61; REMUNERATION;STADES
VILLE;1;2011;F;R;7067;421;597581,33; REDEVANCES ET DROITS DES SERVICES PERISCOLAIRES ET D ENSEIGNEMENT;CENTRES DE LOISIRS
VILLE;1;2011;F;D;6282;22;1979,48; FRAIS DE GARDIENNAGE;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2011;F;D;6156;90;4081,84; MAINTENANCE;INTERVENTIONS ECONOMIQUES
VILLE;1;2011;F;D;654;;402968,41; PERTES SUR CREANCES IRRECOUVRABLES;
VILLE;1;2011;I;D;2188;422;48396,12; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;I;D;205;112;61268,69; CONCESSIONS ET DROITS SIMILAIRES BREVETS LICENCES MARQUES PROCEDES DROITS ET VAL;POLICE MUNICIPALE
VILLE;1;2011;F;D;60632;422;52311,71; FOURNITURES DE PETIT EQUIPEMENT;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;F;R;7368;;1126080,6; TAXE LOCALE SUR PUBLICITE  EXTERIEURE;
VILLE;1;2011;F;D;6227;20;433815,52; FRAIS D'ACTE ET DE CONTENTIEUX;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;I;R;1322;322;1243125; SUBVENTIONS D'EQUIPEMENT NON TRANSFERABLES REGIONS;MUSEES
VILLE;1;2011;F;D;6451;22;418755,36; COTISATIONS A L'URSSAF;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2011;I;D;2188;814;266057,58; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;ECLAIRAGE PUBLIC
VILLE;1;2011;F;D;64118;21;206512,83; AUTRES INDEMNITES PERSONNEL TITULAIRE;ASSEMBLEE LOCALE
VILLE;1;2011;I;D;165;;10424,88; DEPOTS ET CAUTIONNEMENTS RECUS;
VILLE;1;2011;F;R;758;48;4682,25; Produits divers de gestion cou;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;F;D;6331;411;17573,55; VERSEMENT DE TRANSPORT;SALLES DE SPORT, GYMNASES
VILLE;1;2011;F;R;758;821;29370,61; Produits divers de gestion cou;EQUIPEMENTS DE VOIRIE
VILLE;1;2011;F;D;6574;833;21150; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;PRESERVATION DU MILIEU NATUREL
VILLE;1;2011;F;R;7067;251;3540021,75; REDEVANCES ET DROITS DES SERVICES PERISCOLAIRES ET D ENSEIGNEMENT;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2011;F;D;6135;422;21097,68; LOCATIONS MOBILIERES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;I;D;2135;823;27235,31; INSTALLATIONS GENERALES, AGENCEMENTS, AMENAGTS DES CONSTRUCTIONS;ESPACES VERTS URBAINS
VILLE;1;2011;F;D;637;20;18796,43; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;D;6238;313;407925,83; DIVERS;THEATRES
VILLE;1;2011;F;D;6231;91;4811,83; ANNONCES ET INSERTIONS;FOIRES ET MARCHES
VILLE;1;2011;F;D;64118;810;60361,19; AUTRES INDEMNITES PERSONNEL TITULAIRE;SERVICES COMMUNS
VILLE;1;2011;F;D;64111;91;588931,56; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;FOIRES ET MARCHES
VILLE;1;2011;F;D;64731;21;2604,42; ALLOC CHOM;ASSEMBLEE LOCALE
VILLE;1;2011;F;D;60623;520;464,45; ALIMENTATION;SERVICES COMMUNS
VILLE;1;2011;F;D;6236;421;10,15; CATALOGUES ET IMPRIMES;CENTRES DE LOISIRS
VILLE;1;2011;F;D;6241;30;75734,13; TRANSPORT DE BIENS;SERVICES COMMUNS
VILLE;1;2011;I;D;2033;26;1034; FRAIS D'INSERTION;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2011;F;D;6232;415;55506,37; FETES ET CEREMONIES;MANIFESTATIONS SPORTIVES
VILLE;1;2011;I;D;2128;412;22468,01; AUTRES AGENCEMENTS ET AMENAGEMENTS;STADES
VILLE;1;2011;F;R;74711;;70711,78; EMPLOIS JEUNES;
VILLE;1;2011;F;D;6574;40;2204878; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;SERVICES COMMUNS
VILLE;1;2011;F;D;6226;40;2214,63; HONORAIRES;SERVICES COMMUNS
VILLE;1;2011;I;D;2316;324;45782,88; IMMOBILISATIONS EN COURS RESTAURATION DES COLLECTIONS ET OEUVRES D ART;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;1;2011;F;D;6231;212;7060,06; ANNONCES ET INSERTIONS;ECOLES PRIMAIRES
VILLE;1;2011;I;R;13258;322;83020; SUBVENTION D'EQUIPEMENT NON TRANSFERABLES AUTRES GROUPEMENTS DE COLLECTIVITES;MUSEES
VILLE;1;2011;F;D;65738;824;172957; SUBVENTIONS DE FONCTIONNEMENT AUX AUTRES ORGANISMES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2011;F;D;6288;823;6589,7; AUTRES;ESPACES VERTS URBAINS
VILLE;1;2011;F;D;64131;23;371138,33; REMUNERATION;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2011;I;D;2313;823;157275,82; IMMOBILISATIONS EN COURS CONSTRUCTION;ESPACES VERTS URBAINS
VILLE;1;2011;F;D;617;820;29302; ETUDES ET RECHERCHES;SERVICES COMMUNS
VILLE;1;2011;F;D;611;20;405680,12; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;D;60632;323;341,83; FOURNITURES DE PETIT EQUIPEMENT;ARCHIVES
VILLE;1;2011;F;D;6156;411;24142,11; MAINTENANCE;SALLES DE SPORT, GYMNASES
VILLE;1;2011;F;D;615221;824;101771,73; ENTRETIEN ET REP BAT PUBLICS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2011;F;R;7473;422;4300; SUBVENTIONS ET PARTICIPATIONS DEPARTEMENTS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;F;D;6533;21;73207,77; COTISATIONS DE RETRAITE ELUS;ASSEMBLEE LOCALE
VILLE;1;2011;F;D;6156;26;6524,47; MAINTENANCE;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2011;F;D;64111;421;136136,89; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;CENTRES DE LOISIRS
VILLE;1;2011;F;D;6453;23;186406,39; COTISATIONS AUX CAISSES DE RETRAITES;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2011;I;D;2313;91;21395,13; IMMOBILISATIONS EN COURS CONSTRUCTION;FOIRES ET MARCHES
VILLE;1;2011;I;D;2183;820;101,66; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;SERVICES COMMUNS
VILLE;1;2011;F;D;615221;20;282137,46; ENTRETIEN ET REP BAT PUBLICS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;I;D;274;;12000000; AUTRES IMMOBILISATIONS FINANCIERES PRETS;
VILLE;1;2011;I;D;2313;324;277356; IMMOBILISATIONS EN COURS CONSTRUCTION;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;1;2011;F;D;6042;212;137972,36; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;ECOLES PRIMAIRES
VILLE;1;2011;I;D;2033;412;2680,96; FRAIS D'INSERTION;STADES
VILLE;1;2011;F;D;6282;823;185445,67; FRAIS DE GARDIENNAGE;ESPACES VERTS URBAINS
VILLE;1;2011;I;R;1323;412;11289,4; SUBV EQUIP NON TRANSF DEPARTE;STADES
VILLE;1;2011;F;D;6237;40;205633,12; PUBLICATIONS;SERVICES COMMUNS
VILLE;1;2011;I;D;2188;26;5644,94; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2011;F;D;6238;422;213291,76; DIVERS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;I;R;4542;;20878,91; TRAVAUX EFFECTUES D'OFFICE POUR LE COMPTE DE TIERS - RECETTES;
VILLE;1;2011;I;D;261;;90000; TITRES DE PARTICIPATION;
VILLE;1;2011;I;D;2315;20;719222,57; IMMOBILISATIONS EN COURS INSTALLATIONS MATERIEL ET OUTILLAGE TECHNIQUE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;I;D;2188;822;107373,49; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2011;F;D;64118;112;1636912,48; AUTRES INDEMNITES PERSONNEL TITULAIRE;POLICE MUNICIPALE
VILLE;1;2011;I;R;1328;824;1270448,05; SUBV D EQUIPEMENT AUTRES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2011;F;D;64112;212;424775,13; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;ECOLES PRIMAIRES
VILLE;1;2011;F;D;60636;813;766,87; VETEMENTS DE TRAVAIL;PROPRETE URBAINE
VILLE;1;2011;F;R;70323;822;2762160,95; REDEVANCE D'OCCUPATION DU DOMAINE PUBLIC COMMUNAL;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2011;F;D;6135;313;24870,29; LOCATIONS MOBILIERES;THEATRES
VILLE;1;2011;F;D;6188;520;355515,4; AUTRES FRAIS DIVERS;SERVICES COMMUNS
VILLE;1;2011;F;D;6182;313;1292,5; DOCUMENTATION GENERALE ET TECHNIQUE;THEATRES
VILLE;1;2011;F;D;6331;820;30789,88; VERSEMENT DE TRANSPORT;SERVICES COMMUNS
VILLE;1;2011;F;D;658;822;364421,2; CHARGES DIVERSES DE LA GESTION COURANTE;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2011;I;D;2184;211;180704,44; AUTRES IMMOBILISATIONS CORPORELLES MOBILIER;ECOLES MATERNELLES
VILLE;1;2011;F;D;678;822;608,39; AUTRES CHARGES EXCEPTIONNELLES;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2011;I;D;2138;411;162636,09; AUTRES CONSTRUCTIONS;SALLES DE SPORT, GYMNASES
VILLE;1;2011;F;D;60628;814;109497,13; AUTRES FOURNITURES NON STOCKEES;ECLAIRAGE PUBLIC
VILLE;1;2011;F;D;61522;90;4401,44; ENTRETIEN ET REPARATIONS BATIMENTS;INTERVENTIONS ECONOMIQUES
VILLE;1;2011;F;R;7488;313;34988; AUTRES ATTRIBUTIONS, SUBVENTIONS ET PARTICIPATIONS;THEATRES
VILLE;1;2011;F;D;6156;520;8151,3; MAINTENANCE;SERVICES COMMUNS
VILLE;1;2011;F;D;616;422;1061,14; PRIMES D ASSURANCES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;I;D;2315;814;1416659,12; IMMOBILISATIONS EN COURS INSTALLATIONS MATERIEL ET OUTILLAGE TECHNIQUE;ECLAIRAGE PUBLIC
VILLE;1;2011;I;R;1328;821;200000; SUBV D EQUIPEMENT AUTRES;EQUIPEMENTS DE VOIRIE
VILLE;1;2011;F;D;60622;823;23078,23; CARBURANTS;ESPACES VERTS URBAINS
VILLE;1;2011;F;D;6135;251;48351,45; LOCATIONS MOBILIERES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2011;F;R;7311;;167088175; CONTRIBUTIONS DIRECTES;
VILLE;1;2011;F;D;611;212;3121,79; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;ECOLES PRIMAIRES
VILLE;1;2011;F;D;6064;48;237,96; FOURNITURES ADMINISTRATIVES;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;F;D;6064;814;1281,8; FOURNITURES ADMINISTRATIVES;ECLAIRAGE PUBLIC
VILLE;1;2011;F;D;615232;823;38776,9; ENTRETIEN ET REP RESEAUX;ESPACES VERTS URBAINS
VILLE;1;2011;I;D;202;112;31467,05; FRAIS D'ETUDES,D'ELABORATION,DE MODIFICATIONS DES DOC. D'URBANISME;POLICE MUNICIPALE
VILLE;1;2011;F;D;6488;211;44527; AUTRES CHARGES;ECOLES MATERNELLES
VILLE;1;2011;F;D;6236;823;9131,23; CATALOGUES ET IMPRIMES;ESPACES VERTS URBAINS
VILLE;1;2011;I;R;2802;;23228,39; AMT FRAIS ETUDES ELAB DOC URB;
VILLE;1;2011;F;D;60628;48;219,72; AUTRES FOURNITURES NON STOCKEES;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;F;D;64111;816;289312,61; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2011;F;R;7718;251;0,09; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2011;F;D;6453;412;423547,57; COTISATIONS AUX CAISSES DE RETRAITES;STADES
VILLE;1;2011;F;D;6718;64;580,91; AUTRES CHARGES EXCEPT SUR OPERATIONS DE GESTION;CRECHES ET GARDERIES
VILLE;1;2011;F;D;64111;211;5631378,42; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;ECOLES MATERNELLES
VILLE;1;2011;F;D;658;422;55173,97; CHARGES DIVERSES DE LA GESTION COURANTE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;I;D;2113;823;106912,97; TERRAINS AMENAGES AUTRES QUE VOIRIE;ESPACES VERTS URBAINS
VILLE;1;2011;F;R;7472;313;85000; SUBVENTIONS ET PARTICIPATIONS REGIONS;THEATRES
VILLE;1;2011;I;D;2033;414;1129,8; FRAIS D'INSERTION;AUTRES EQUIPEMENTS SPORTIFS OU DE LOISIR
VILLE;1;2011;F;R;7718;22;1187,45; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2011;I;D;2184;421;752,13; AUTRES IMMOBILISATIONS CORPORELLES MOBILIER;CENTRES DE LOISIRS
VILLE;1;2011;F;D;6262;20;366465,17; FRAIS DE TELECOMMUNICATIONS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2011;F;D;6282;48;1287,58; FRAIS DE GARDIENNAGE;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2011;I;R;13251;824;3750; SUBV EQUIPT GROUP COLL;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2011;F;D;64112;412;63388,92; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;STADES
VILLE;1;2011;F;R;7088;422;90043,4; AUTRES PRODUITS D ACTIVITES ANNEXES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2011;F;D;6451;48;50794,98; COTISATIONS A L'URSSAF;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
